Item,Instruction_1,Instruction_2,Instruction_3,Category
bullet shells,This type of waste is not accepted by the City of Toronto.,"If you find this item and it’s an emergency, call 911. If you’re turning it in, call the Toronto police non-emergency line at 416-808-2222. Do not take item to a police station.",,Not Accepted
projectiles,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",Contact the manufacturer for information on proper disposal.,Not Accepted
scuba dive tanks,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
cellulose nitrate films,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
fungicides,"This item is Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling), Green Bin (organics), drain, toilet or sewer.",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
dirt,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
sod,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
fill,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
grass,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
sand,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
soil (large amount),"Soil from excavation, landscaping, etc. is not accepted by the City of Toronto. Only small amounts of soil from indoor plants can be placed in the Green Bin (organics).",Please make arrangements with a private company to dispose of this item.,,Not Accepted
rocks,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
gravel,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
patio stones,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
paving stones,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
cement,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
grout,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
cement powder,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
stucco,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
mortar,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
clay pipe,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
marble slab,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
asphalt,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
cinder block,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
concrete pieces,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
concrete block,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
concrete sink,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
concrete tub,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
concrete laundry tub,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
pool heater,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
pool pump,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
bricks,This type of waste is not accepted by the City of Toronto.,Make arrangements with a private company specializing in handling this type of waste.,,Not Accepted
asbestos,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
home generator (power backup),This item is not collected at the curbside or accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Please make arrangements with a private company to dispose of this item.,,Not Accepted
polychlorinated biphenyls (PCBs),This item is not collected at the curbside or accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Please make arrangements with a private company to dispose of this item.,,Not Accepted
telephone pole,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
tent trailer,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
vending machine,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
welding tank,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
diving board,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
pool table,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating reusable items to non-profit organizations.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
billiard table,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating reusable items to non-profit organizations.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
snooker table,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating reusable items to non-profit organizations.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
electric bike/e-bike battery/batteries,"Batteries are Household Hazardous Waste (HHW) and MUST NOT be disposed of in the garbage, Blue Bin (recycling) or Green Bin (organics).",Take this item to one of the City's Drop-Off Depots or Community Environment Days.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
piano,This item is not collected at the curbside or is not accepted at City of Toronto Drop-Off Depots or at Community Environment Days.,Consider donating reusable items to non-profit organizations.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
organ (instrument),This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating reusable items to non-profit organizations.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
oil tank (full or partially full),This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
vehicle tank (full or empty),This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
gas tank (full or empty),This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",Make arrangements with a private company specializing in handling this type of waste.,Not Accepted
diesel tank (full or empty),This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
vehicle propane tank (full or empty),This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",,Not Accepted
boat,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
motorized personal transporter,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
Sea-Doo,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
Ski-Doo,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
Jet Ski,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
snowmobile,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
motorcycle,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
scooter,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
Global Positioning System (GPS) receivers/components,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
electric bike/e-bike,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
Segway,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
golf cart,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
plastic car parts,This type of waste is not accepted by the City of Toronto.,"Do not place this item in the Garbage Bin, Green Bin or Blue Bin, and do not bring this item to the City's Drop-Off Depots.",Please make arrangements with a private company to dispose of this item.,Not Accepted
pickup truck cabs/caps/toppers,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
truck,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,Consider donating or selling this item.,"Alternatively, please make arrangements with a private company to dispose of this item.",Not Accepted
speaker docking stations,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
webcams,"Consider donating reusable items. Otherwise, place in a clear plastic bag or open cardboard box and on the ground 0.5 m (2 ft) from your Garbage Bin.",Apartment/condo residents should take electronics to their building’s drop-off area.,Electronics can also be taken to Drop-Off Depots or Community Environment Days.,Electronic Waste
dead animal (large),"If you find a dead animal, contact 311. If on private property, bag skunks/raccoons/unowned domestic animals for pickup (coyotes/deer don't need to be).","If the dead animal is under a deck or porch, please call a private company for animal removal.",,Not Accepted
carcass (large),"If you find a dead animal, contact 311. If on private property, bag skunks/raccoons/unowned domestic animals for pickup (coyotes/deer don't need to be).","If the dead animal is under a deck or porch, please call a private company for animal removal.",,Not Accepted
plastic paint bag (empty),Bags that still have paint (more than a thin layer) must be disposed of as Household Hazardous Waste.,Place this empty item in the garbage.,,Garbage Bin
shattered glass,"Wrap sharp edges with thick or multi-layered material (e.g. newspaper, cardboard, plastic, fabric) before placing in the Garbage Bin.",,,Garbage Bin
dead raccoon,"If you find a dead animal, contact 311. If found dead on private property, the animal needs to be bagged and placed at the curb for special pickup.",You can also make an appointment to bring dead animals to a Toronto Animal Shelter for disposal.,"If the dead animal is under a deck or porch, please call a private company for animal removal.",Not Accepted
tree stump,"Tree limbs, trunks and stumps are not collected or accepted at the City's Drop-Off Depots if the diameter of the wood exceeds 7.5 cm (3 inches).","If items exceed this size, please make arrangements with a private company specializing in handling this type of waste.",,Not Accepted
large branch,"Tree limbs, trunks and stumps are not collected or accepted at the City's Drop-Off Depots if the diameter of the wood exceeds 7.5 cm (3 inches).","If items exceed this size, please make arrangements with a private company specializing in handling this type of waste.",,Not Accepted
tree,"Tree limbs, trunks and stumps are not collected or accepted at the City's Drop-Off Depots if the diameter of the wood exceeds 7.5 cm (3 inches).","If items exceed this size, please make arrangements with a private company specializing in handling this type of waste.",,Not Accepted
tree trunk,"Tree limbs, trunks and stumps are not collected or accepted at the City's Drop-Off Depots if the diameter of the wood exceeds 7.5 cm (3 inches).","If items exceed this size, please make arrangements with a private company specializing in handling this type of waste.",,Not Accepted
election signs (any material),Election candidates are responsible for removing signs within 72 hours following the day of an election. Please contact the candidate if your sign is not removed.,The City offers election sign recycling services at designated Drop-Off Depots for a month following an election.,"At any other time, place signs made of any material (including corrugated plastic, plastic sleeves and paperboard) and wooden stakes in the garbage. Metal supports can be brought to select Drop-Off Depots as scrap metal.",Garbage Bin
grass clippings,Leave grass clippings on your lawn; yard waste containing grass clippings or sod will not be collected.,,,Not Accepted
thatch,Leave grass clippings on your lawn; yard waste containing grass clippings or sod will not be collected.,,,Not Accepted
large/tall/floor mirror (intact),"Consider donating reusable items. Please wrap item with cardboard, thick paper, fabric or bubble wrap to prevent breakage during collection.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
plastic drums,Containers with hazardous products must be disposed of as Household Hazardous Waste.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
plastic pails (>20 L),Place empty item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.,,,Oversized Item
aquarium,"Consider donating reusable items. Please wrap item with cardboard, thick paper, fabric or bubble wrap to prevent breakage during collection.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
bicycle/bike,Consider donating reusable items to non-profit organizations.,Residents of apartments/condos should take this item to their building’s designated area for oversized items.,,Oversized Item
art/photo frame with glass pane (intact),"Consider donating reusable items. Please wrap item with cardboard, thick paper, fabric or bubble wrap to prevent breakage during collection.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
motor vehicles,This item is not collected at the curbside and is not accepted at City of Toronto Drop-Off Depots or Community Environment Days.,"Alternatively, please make arrangements with a private company to dispose of this item.",,Not Accepted
snowboard,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
golf clubs/golf irons,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
office chairs,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
golf putters,Consider donating reusable items to non-profit organizations or bringing to a Community Environment Day.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
one piece toilet,"Place toilet tank and bowl at your curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,,Oversized Item
linoleum flooring,Tie into rolls measuring no longer than 1.2 metres (4 ft) and weighing less than 20 kilograms (44 lbs).,,,Oversized Item
rugs/area rugs,"Tie into rolls measuring no longer than 1.2 m (4 ft) and weighing less than 20 kg (44 lbs). If this item is infested with bed bugs or other pests, wrap it in plastic.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
floor mats,"Tie into rolls measuring no longer than 1.2 m (4 ft) and weighing less than 20 kg (44 lbs). If this item is infested with bed bugs or other pests, wrap it in plastic.",,,Oversized Item
rubber mats,Tie into rolls measuring no longer than 1.2 metres (4 ft) and weighing less than 20 kilograms (44 lbs).,,,Oversized Item
carpets,"Tie into rolls measuring no longer than 1.2 m (4 ft) and weighing less than 20 kg (44 lbs). If this item is infested with bed bugs or other pests, wrap it in plastic.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
flooring underlayment,Tie into rolls measuring no longer than 1.2 metres (4 ft) and weighing less than 20 kilograms (44 lbs).,,,Oversized Item
easels,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
underpadding (for carpets/rugs),Please tie into rolls measuring no longer than 1.2 metres (4 ft) and weighing less than 20 kilograms (44 lbs).,,,Oversized Item
"dead domestic animal/pet (e.g. dog, cat)",Contact a veterinary clinic or Toronto Animal Shelters (416-338-PAWS) to discuss disposal options.,,,Not Accepted
furniture,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
bench,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
stools,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
wicker furniture,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
bed frames,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
mattress (matress),"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,"If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",Oversized Item
box spring/boxspring,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
sofa bed mattress,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
sofa,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
couch,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
storage trunks,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
recliner,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
wooden chairs,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
plastic chairs,Consider donating reusable items to non-profit organizations.,Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
armchair,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
glass furniture,"Consider donating reusable items. Please wrap item with cardboard, thick paper, fabric or bubble wrap to prevent breakage during collection.",Apartment/condo residents should take item to their building’s designated area for oversized items.,,Oversized Item
La-Z-Boy/Lazy Boy recliner,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
bean bag/beanbag chair,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.","If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",,Oversized Item
explosives,This type of waste is not accepted by the City of Toronto.,"If you find this item and it’s an emergency, call 911. If you’re turning it in, call the Toronto police non-emergency line at 416-808-2222. Do not take item to a police station.",,Not Accepted
dressers,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart if large/heavy and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
desks,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart if large/heavy and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
tables,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart if large/heavy and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
glass table/top (intact),"Consider donating reusable items. Please wrap item with cardboard, thick paper, fabric or bubble wrap to prevent breakage during collection.","When setting out for collection, label item GLASS and place 0.5 m (2 ft) away from garbage bin on collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
crib,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart if large/heavy and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
stroller/pram,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
baby stroller,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
baby carriage,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
child seat,Consider donating reusable items to non-profit organizations.,"Otherwise, take item apart and place 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
baby car seat/booster seat/booster car seat,Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,Oversized Item
unknown compressed gas cylinders,This type of waste is not accepted by the City of Toronto.,Please make arrangements with a private company to dispose of this item.,,Not Accepted
futon,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,"If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",Oversized Item
foam mattress topper,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,"If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",Oversized Item
sofa bed,"Consider donating reusable items. Otherwise, place 0.5 m (2 ft) away from garbage bin on collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,"If this item is infested with bed bugs or other pests, take the item apart (if possible) and wrap it in plastic before setting out for collection.",Oversized Item
laundry basket,Consider donating reusable items to non-profit organizations.,"Otherwise, place empty item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
clothes basket,Consider donating reusable items to non-profit organizations.,"Otherwise, place empty item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
hamper,Consider donating reusable items to non-profit organizations.,"Otherwise, place empty item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
sewing machine,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
vacuum cleaner,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
carpet steamer,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
water softener,"Place this empty item at your curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,,Oversized Item
furnace oil tanks,This type of waste is not accepted by the City of Toronto.,Please make arrangements with a private company to dispose of this item.,,Not Accepted
floor fans,Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.","If you live in a multi-residential building, please take this item to your building’s designated area for oversized items.",Oversized Item
ceiling fans,Consider donating reusable items to non-profit organizations.,"Otherwise, place item 0.5 metre (2 feet) away from your Garbage Bin on your garbage collection day.",Apartment/condo residents should take item to their building’s designated area for oversized items.,Oversized Item
baby/toddler gate,Consider donating reusable items to non-profit organizations.,"Alternatively, place item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",Residents of apartments/condos should take this item to their building’s designated area for oversized items.,Oversized Item
light ballasts with PCBs,This type of waste is not accepted by the City of Toronto.,Please make arrangements with a private company to dispose of this item.,,Not Accepted
luggage/baggage/suitcase,Consider donating reusable items to non-profit organizations.,"Place this empty item at your curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",Residents of apartments/condos should take this item to their building’s designated area for oversized items.,Oversized Item
Wi-Fi light bulbs,This item is Household Hazardous Waste (HHW). Package to prevent breakage before drop off or Toxic Taxi pickup.,Take this item to one of the City's Drop-Off Depots or Community Environment Days or a retailer that accepts lighting.,"For HHW from 10-50 L/kg, you can request a free Toxic Taxi pickup online or by calling 311. In an apartment/condo, building staff need to request pickup.",HHW
leaf blower,Drain any gasoline/oil and dispose of it as Household Hazardous Waste.,"Place this item at your curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",,Oversized Item
personal shopping cart/trolley/buggy,Consider donating reusable items to non-profit organizations.,"Alternatively, place this empty item at the curb on your regular garbage collection day, 0.5 metre (2 feet) away from your Garbage Bin.",Residents of apartments/condos should take this item to their building’s designated area for oversized items.,Oversized Item
